ssdl:pid,ssdl:notation
1909-Newonw-MTS,Seven-shape Aikin
1909-Evange-MTS,Round
1909-Cumber-MTS,Seven-shape Aikin
1908-Twelft-MTS,Round
1908-Songso-MTS,Round;Seven-shape Aikin
1908-Gesang-MTS,
1907-Select-MTS,Round
1907-Pilger-MTS,Round
1907-Patton-MTS,Seven-shape Aikin
1907-Organo-MTS,Round
1907-Happyd-MTS,Round
1907-Bestof-MTS,Seven-shape Aikin
1906-Starof-MTS,Seven-shape Aikin
1906-Mehrst-MTS,Round
1906-Living-MTS,Seven-shape Aikin
1906-Gladho-MTS,Seven-shape Aikin
1906-GVhymn-MTS,Seven-shape Aikin
1905-Winnow-MTS,Seven-shape Aikin
1905-Soulso-MTS,Round
1905-Songs2-MTS,Seven-shape Aikin
1905-Songs1-MTS,Round
1905-Eureka-MTS,Seven-shape Aikin
1904-Sunlig-MTS,Seven-shape Aikin
1904-Songso-MTS,Round
1904-Practi-MTS,Seven-shape Aikin
1904-Perrys-MTS,Seven-shape Aikin
1904-Living-MTS,Seven-shape Aikin
1903-Hymnso-MTS,Round
1902-Primit-MTS,Seven-shape Aikin
1902-Gemsfo-MTS,Seven-shape Aikin
1902-Favori-MTS,Round
1902-Bibles-MTS,Seven-shape Aikin
1901-Window-MTS,Seven-shape Aikin
1902-Songso-MTS,Seven-shape Aikin
1901-Psalms-MTS,Nil
1901-Hymnso-MTS,Round
1900-Practi-MTS,Round
1900-Pentec-MTS,Seven-shape Aikin
1900-Gospel-MTS,Round
1900-Epwort-MTS,Round
1900-Dortch-MTS,Round
1899-Storyo-MTS,Round
1899-Psalms-MTS,Seven-shape Aikin
1899-Highwa-MTS,Round
1899-Gospel-MTS,Round
1898-Silver-MTS,Round
1898-Golden-MTS,Round
1898-Fillmo-MTS,Round
1897-Select-MTS,Seven-shape Aikin
1897-Seedso-MTS,Round
1897-Romanh-MTS,Round
1897-Anthem-MTS,Round
1896-Window-MTS,Seven-shape Aikin
1896-Anthem-MTS,Round
1895-Songof-MTS,Round
1895-Psalms-MTS,Seven-shape Aikin
1895-Dortch-MTS,Seven-shape Aikin
1894-Treble-MTS,Round
1894-PerleS-MTS,Round
1894-Lieder-MTS,Round
1893-Unfadi-MTS,Round
1893-Blessi-MTS,Seven-shape Aikin
1892-Whiter-MTS,Round
1892-Trieda-MTS,Round
1892-Songsa-MTS,Round
1892-Little-MTS,Round
1891-Cabina-MTS,Round
1889-Songso-MTS,Round
1889-Herber-MTS,Round
1888-Modern-MTS,Round
1888-Garner-MTS,Round
1888-Deutsc-MTS,Round
1887-Triump-MTS,Round
1887-Songso-MTS,Round
1887-Musica-MTS,Round
1887-Empire-MTS,Round
1886-Flower-MTS,Round
1885-McPhai-MTS,Round
1885-Herber-MTS,Round
1884-Lieder-MTS,Round
1884-Englis-MTS,Round
1883-Hallel-MTS,Round
1882-Tribut-MTS,Round
1882-Songso-MTS,Round
1882-Lieder-MTS,Nil
1882-Davids-MTS,Round
1881-Hearta-MTS,Round
1881-Gemofg-MTS,Round
1880-Undert-MTS,Round
1880-Gateso-MTS,Round
1878-Univer-MTS,Nil
1878-Precio-MTS,Round
1878-Heaven-MTS,Round
1878-Harves-MTS,Round
1877-Songso-MTS,Numeral staff
1876-Spirit-MTS,Round
1876-Songhe-MTS,Round
1874-Songer-MTS,Round
1874-Melodi-MTS,Round
1874-Corone-MTS,Seven-shape Funk
1874-Cabina-MTS,Round
1873-Manner-MTS,Round
1872-Puredi-MTS,Round
1871-Truesi-MTS,Round
1871-Crowno-MTS,Round
1871-Charmc-MTS,Round
1870-WestVi-MTS,Seven-shape Funk
1870-Sacred-MTS,Four-shape
1869-Christ-MTS,Nil
1867-Songso-MTS,Round
1867-Jugend-MTS,Round
1867-Chants-MTS,Round
1864-Devoti-MTS,Round
1860-Church-MTS,Round
1859-Songsf-MTS,Round
1854-Church-MTS,Nil
1853-Timbre-MTS,Seven-shape Aikin
1853-Harpof-MTS,Four-shape
1852-Romber-MTS,Round
1850-Golden-MTS,Round
1843-Manual-MTS,Round
1833-Select-UTL,Nil
1846-Cherok-UTL,Round
1860-Maskok-UTL,Nil
1866-Cherok-UTL,Round
1875-Gospel-UTL,Round
1880-Nakcok-UTL,Nil
188x-Mvskok-UTL,Nil
1887-Gospel-UTL,Seven-shape Aikin
1892-Nusdvu-UTL,Nil
1906-Tsalag-UTL,Nil
1910-Baptis-UTL,Nil
1917-Mvskok-UTL,Nil
1920-Hallel-UTL,Seven-shape Aikin
1926-Nakcok-UTL,Nil
1847-Sacred-SBT,Round
1851-Songso-SBT,Nil
1853-Hymnsf-SBT,Nil
1854-Sweets-SBT,Nil
1856-Simple-SBT,Nil
1857-Annive-SBT,Round
1859-HymnsF-SBT,Nil
1860-Hymnss-SBT,Nil
1862-Sunday-SBT,Nil
1865-Sunday-SBT,Nil
1867-Gladti-SBT,Round
1870-Vocali-SBT,Round
1871-Linton-SBT,Round
1871-NewChr-SBT,Numeral
1873-NewBa2-SBT,Seven-shape Aikin
1878-Newgos-SBT,Round
1881-Nearer-SBT,Round
1897-Select-SBT,Round;Seven-shape Hood
186x-Little-SBT,Nil
1865-Newcel-SBT,Nil
190x-Callne-SBT,Seven-shape Aikin;Round
1894-Hymnss-SBT,Nil
1919-Whenmi-SBT,Round
1884-Kleine-SBT,
1887-Hymnsn-SBT,Round
1888-Favori-SBT,Round;Numeral staff
1889-Stouth-SBT,Nil
1891-Choice-SBT,Nil
1891-Hymnsn-SBT,Round
1892-Manly1-SBT,Nil
1892-Manly2-SBT,Round
1895-Dawnin-SBT,Seven-shape Aikin
1895-Spirit-SBT,Round
1899-Salvat-SBT,Round
1900-Church-SBT,Round
1900-Sacre1-SBT,Round
1901-Lastin-SBT,Round
1901-Sunday-SBT,Round
1902-Sacred-SBT,Seven-shape Aikin
1904-Praise-SBT,Round
1905-Newson-SBT,
1908-Gemsof-SBT,Round
1908-Progra-SBT,Round
1909-Melodi-SBT,Round;Seven-shape Aikin
1909-Newglo-SBT,
1909-Primit-SBT,Round
1909-Singet-SBT,
1909-Starof-SBT,Round
1912-Bestre-SBT,Round
1913-Emanue-SBT,Seven-shape Aikin
1913-Songsa-SBT,Round
1914-Songso-SBT,Round;Seven-shape Aikin
1914-Studen-SBT,Round
1915-Kingof-SBT,Round
1915-Redemp-SBT,Seven-shape Aikin
1915-Songha-SBT,Seven-shape Aikin
1918-Northf-SBT,
1919-Hesju1-SBT,Round
1919-Hesju2-SBT,Round
1920-Gospel-SBT,Seven-shape Aikin
1923-Silver-SBT,Seven-shape Aikin
1924-Ourjoy-SBT,Seven-shape Aikin
1925-Hymnso-SBT,
1925-KingJe-SBT,Round
1925-Singhi-SBT,Round;Seven-shape Aikin
1931-Evange-SBT,Round
1931-Glorio-SBT,
1857-Notesa-SBT,Nil
1888-Temple-SBT,Round
1900-Newson-SBT,
1900-Sacre2-SBT,Seven-shape Aikin
1905-Psalli-SBT,Round
19xx-Robins-SBT,Seven-shape Aikin
1903-Hymnso-SBT,Round
1908-Reviva-SBT,Round
1911-Harpof-SBT,Seven-shape Aikin
1911-Newson-SBT,Round
1914-Glorio-SBT,Seven-shape Aikin
1916-Gospel-SBT,Seven-shape Aikin
1919-Hymnso-SBT,Round
1919-Majest-SBT,Seven-shape Aikin
1929-Souli1-SBT,Round
1929-Souli2-SBT,Seven-shape Aikin
1924-Gospel-SBT,Seven-shape Aikin
1924-Gracea-SBT,Round;Seven-shape Aikin
1924-Songpr-SBT,Seven-shape Aikin
1925-Christ-SBT,Round
1910-Reviva-SBT,Seven-shape Aikin
1873-Amaran-UKY,Round
1900-Beauti-UKY,Round
1914-Carmin-UKY,Round
1871-Songki-UKY,
1874-Hallow-UKY,Round
1878-Hymna2-UKY,Round
1879-Hourso-UKY,Round
1890-Finest-UKY,Round
1843-Dupuys-UKY,Nil
1850-Hymnsf-UKY,Nil
