ssdl:pid,ssdl:notation,ssdl:placeOfPublication,ssdl:spatialCoverageGettyUri,ssdl:dateOfPublication,ssdl:shortTitle
1905-Winnow-MTS,Seven-shape Aikin,"Bethlehem, GA",http://vocab.getty.edu/page/tgn/2022169,1905?,Winnowed Songs
1905-Soulso-MTS,Round,"Waco, TX;Chattanooga, TN",http://vocab.getty.edu/page/tgn/7014575;http://vocab.getty.edu/page/tgn/7017496,1905?,Soul Songs
1905-Songs2-MTS,Seven-shape Aikin,"Waco, TX;Memphis, TN",http://vocab.getty.edu/page/tgn/7014575;http://vocab.getty.edu/page/tgn/7017750,1905,Songs of Redemption
1905-Songs1-MTS,Round,"New York, NY;Boston, MA;Pittsburg[h], PA;Detroit, MI;Cincinnati, OH;Chicago, IL;Kansas City, MO;San Francisco, CA",http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013445;http://vocab.getty.edu/page/tgn/7013927;http://vocab.getty.edu/page/tgn/7013547;http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7013820;http://vocab.getty.edu/page/tgn/7014456,1905,Songs of Faith and Hope
1905-Eureka-MTS,Seven-shape Aikin,"Stigler, Indian Territory",http://vocab.getty.edu/page/tgn/2084045,1905,The Eureka Tidings of Joy
1904-Sunlig-MTS,Seven-shape Aikin,"Hot Springs, AR",http://vocab.getty.edu/page/tgn/7017456,1904,Sunlight Glees
1904-Songso-MTS,Round,"Philadelphia, PA;New York, NY;Chicago, IL;St. Louis, MO;San Francisco, CA",http://vocab.getty.edu/page/tgn/7014406;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7014456,1904,Songs of Praise Number One
1904-Practi-MTS,Seven-shape Aikin,"Dayton, VA",http://vocab.getty.edu/page/tgn/2111441,1904,The Practical Music Reader
1904-Perrys-MTS,Seven-shape Aikin,"Waco, TX; Chattanooga, TN",http://vocab.getty.edu/page/tgn/7014575;http://vocab.getty.edu/page/tgn/7017496,1904,Perry's Brightest Glory
1904-Living-MTS,Seven-shape Aikin,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1904?,Living Water Songs
1903-Hymnso-MTS,Round,"Macon, GA",http://vocab.getty.edu/page/tgn/7013980,1903,Hymns of Calvary
1902-Primit-MTS,Seven-shape Aikin,"Luray, VA;Danville, IN",http://vocab.getty.edu/page/tgn/2112770;http://vocab.getty.edu/page/tgn/2275510,1902,Primitive Baptist Hymn and Tune Book
1902-Gemsfo-MTS,Seven-shape Aikin,"Douglasville, GA",http://vocab.getty.edu/page/tgn/2022711,1902,Gems for the Sunday-Schools
1902-Favori-MTS,Round,"Kansas City, MO",http://vocab.getty.edu/page/tgn/7013820,1902,Favorite Anthems
1902-Bibles-MTS,Seven-shape Aikin,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1902?,Bible Songs of Salvation and Victory
1901-Window-MTS,Seven-shape Aikin,"Bowman, GA",http://vocab.getty.edu/page/tgn/2022228,1901?,Windows of Heaven and Simplified Theory Combined
1902-Songso-MTS,Seven-shape Aikin,"Dayton, VA",http://vocab.getty.edu/page/tgn/2111441,1901,Songs of Glory
1901-Psalms-MTS,Nil,"Richmond, VA",http://vocab.getty.edu/page/tgn/7013964,1901,The New Psalms and Hymns
1901-Hymnso-MTS,Round,"St. Louis, MO",http://vocab.getty.edu/page/tgn/7014444,1901,Hymns of the Faith
1900-Practi-MTS,Round,"Cincinnati, OH;New York, NY;Chicago, IL;Leipsic [Leipzig], Germany;London, England",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7012329;http://vocab.getty.edu/page/tgn/8725268,1900,Practical Anthems: Vol. 6
1900-Pentec-MTS,Seven-shape Aikin,"Louisville, KY",http://vocab.getty.edu/page/tgn/7013915,1900,Pentecostal Songs
1900-Gospel-MTS,Round,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1900,Gospel Praise
1900-Epwort-MTS,Round,"New York, NY;Cincinnati, OH",http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013604,1900,The Epworth Hymnal No. 3
1900-Dortch-MTS,Round,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1900,Dortch's Gospel Voices No. 2
1899-Storyo-MTS,Round,"London, England",http://vocab.getty.edu/page/tgn/7011781,1899,The Story of the Jubilee Singers
1899-Psalms-MTS,Seven-shape Aikin,"West Milton, OH;Nashville, TN;Dalton, GA;Dallas, TX",http://vocab.getty.edu/page/tgn/2082531;http://vocab.getty.edu/page/tgn/7013959;http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/7013503,1899,Psalms Hymns and Spiritual Songs Complete
1899-Highwa-MTS,Round,"Dalton, GA;West Milton, OH;Dallas, TX",http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/2082531;http://vocab.getty.edu/page/tgn/7013503,1899,The Highway to Heaven
1899-Gospel-MTS,Round,"Chicago, IL",http://vocab.getty.edu/page/tgn/7013596,1899,The Gospel Pilot Hymnal
1898-Silver-MTS,Round,"St. Louis, MO;Indianapolis, IN",http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7012924,1898,Silver and Gold No. One
1898-Golden-MTS,Round,"Dayton, OH",http://vocab.getty.edu/page/tgn/7013511,1898,Golden Songs
1898-Fillmo-MTS,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1898,Fillmores' Jewels
1897-Select-MTS,Seven-shape Aikin,"Dalton, GA;Dallas, TX",http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/7013503,1897,Select revival songs
1897-Seedso-MTS,Round,"Toledo, OH",http://vocab.getty.edu/page/tgn/7014378,1897,The Seed Sower
1897-Romanh-MTS,Round,"New York, NY;Cincinnati, OH",http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013604,1897,The Roman Hymnal
1897-Anthem-MTS,Round,"Cincinnati, OH;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567,,Anthems from the Psalms
1896-Window-MTS,Seven-shape Aikin,"Bowman, GA; Mt. Sylvan, TX",http://vocab.getty.edu/page/tgn/2022228;http://vocab.getty.edu/page/tgn/2106176,1896?,Windows of Heaven No. 2
1896-Anthem-MTS,Round,"Dayton, OH;New York, NY;Chicago, IL",http://vocab.getty.edu/page/tgn/7013511;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013596,1896,The Anthem Prize
1895-Songof-MTS,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY;Boston, MA;Pittsburg[h], PA;San Francisco, CA",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013445;http://vocab.getty.edu/page/tgn/7013927;http://vocab.getty.edu/page/tgn/7014456,1895,Songs of the Soul
1895-Psalms-MTS,Seven-shape Aikin,"West Milton, OH;Bridgewater, VA;Atlanta, GA;Nashville, TN;Morgan, TX",http://vocab.getty.edu/page/tgn/2082531;http://vocab.getty.edu/page/tgn/2110776;http://vocab.getty.edu/page/tgn/7013331;http://vocab.getty.edu/page/tgn/7013959;http://vocab.getty.edu/page/tgn/2106134,1895,"Psalms,  Hymns, and Spiritual Songs"
1895-Dortch-MTS,Seven-shape Aikin,"Charlotte, NC",http://vocab.getty.edu/page/tgn/7013584,1895,Dortch's Gospel Voices No. 1
1894-Treble-MTS,Round,"Cincinnati, OH; New York, NY; Chicago, IL; Leipsic [Leipzig], Germany; London, England",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7012329;http://vocab.getty.edu/page/tgn/8725268,1894,The Treble Clef Choir
1894-PerleS-MTS,Round,"Cincinnati, OH; Chicago, IL; Kansas City, MO; New York, NY; Boston, MA; Pittsburg[h], PA; Detroit, MI; San Francisco, CA",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7013820;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013445;http://vocab.getty.edu/page/tgn/7013927;http://vocab.getty.edu/page/tgn/7013547;http://vocab.getty.edu/page/tgn/7014456,1894,Die Perle.
1894-Lieder-MTS,Round,"St. Louis, MO",http://vocab.getty.edu/page/tgn/7014444,1894,Lieder-Perlen
1893-Unfadi-MTS,Round,"Cincinnati, OH; Chicago, IL; St. Louis, MO; Philadelphia, PA",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7014406,1893,Unfading Treasures
1893-Blessi-MTS,Seven-shape Aikin,"Dalton, GA",http://vocab.getty.edu/page/tgn/2022620,1893,Blessing and Glory
1892-Whiter-MTS,Round,"Chicago, IL",http://vocab.getty.edu/page/tgn/7013596,1892,The White Ribbon Hymnal
1892-Trieda-MTS,Round,"Dayton, OH",http://vocab.getty.edu/page/tgn/7013511,1892,Tried and True
1892-Songsa-MTS,Round,"Richmond, VA",,,Songs and Solos
1892-Little-MTS,Round,"Cincinnati, OH; Chicago, IL; New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7007567,1892,Little Sacred Songs for Little Singers
1891-Cabina-MTS,Round,"New York, NY; London, England",http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7011781,1891,Cabin and Plantation Songs
1889-Songso-MTS,Round,"Dayton, OH",http://vocab.getty.edu/page/tgn/7013511,1889,Songs of the Morning
1889-Herber-MTS,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1889,Herbert's Anthems
1888-Modern-MTS,Round,"Cincinnati, OH;Chicago, IL;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7007567,1888,"Modern Anthems, Vol. 1"
1888-Garner-MTS,Round,"Harrisburg, PA",http://vocab.getty.edu/page/tgn/7013694,1888,Garnered Sheaves
1888-Deutsc-MTS,Round,"Cincinnati, OH;Chicago, IL;Kansas City, MO;San Francisco, CA;New York, NY;Boston, MA;Pittsburg[h], PA;Detroit, MI",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7013820;http://vocab.getty.edu/page/tgn/7014456;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013445;http://vocab.getty.edu/page/tgn/7013927;http://vocab.getty.edu/page/tgn/7013547,1888,Deutsches Gesang und Melodienbuch
1887-Triump-MTS,Round,"Chicago, IL",http://vocab.getty.edu/page/tgn/7013596,1887,Triumphant Songs
1887-Songso-MTS,Round,"Cincinnati, OH; Chicago, IL; St. Louis, MO; Philadelphia, PA",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7014406,1887,Songs of Redeeming Love No. 2
1887-Musica-MTS,Round,"Macon, GA",http://vocab.getty.edu/page/tgn/7013980,1887,Musical Notation
1887-Empire-MTS,Round,"Cincinnati, OH; Chicago, IL; New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/1002715,1887,The Empire of Song
1886-Flower-MTS,Round,"Cincinnati, OH; Chicago, IL; New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/1002715,1886,Flower Praise
1885-McPhai-MTS,Round,"Cincinnati, OH;Chicago, IL;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/1002715,1885,McPhail's Anthems
1885-Herber-MTS,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1885,Herbert's Bible Anthems
1884-Lieder-MTS,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1884,Liederlust und Psalter
1884-Englis-MTS,Round,"New York, NY
Cincinnati, OH","http://vocab.getty.edu/page/tgn/7007567
http://vocab.getty.edu/page/tgn/7013604",1884,English and Latin Hymns
1883-Hallel-MTS,Round,"Cleveland, OH",http://vocab.getty.edu/page/tgn/7013608,1883,Halleluja
1882-Tribut-MTS,Round,"Pittsburgh, PA; Baltimore, MD",http://vocab.getty.edu/page/tgn/7013927;http://vocab.getty.edu/page/tgn/7013352,1882,The Tribute of Praise
1882-Songso-MTS,Round,"Dayton, OH",http://vocab.getty.edu/page/tgn/7013511,1882,Songs of the Kingdom
1882-Lieder-MTS,Nil,"St. Louis, MO;Chicago, IL",http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7013596,1882,Liederbuch für Sonntagsschulen
1882-Davids-MTS,Round,"Cincinnati, OH;Chicago, IL",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596,1882,"David, The Shepherd Boy"
1881-Hearta-MTS,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1881,Heart and Voice
1881-Gemofg-MTS,Round,"New York, NY",http://vocab.getty.edu/page/tgn/1002715,1881,The Gem of Gems
1880-Undert-MTS,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1880,Under the Palms
1880-Gateso-MTS,Round,"Dayton, OH",http://vocab.getty.edu/page/tgn/7013511,1880,Gates of Praise
1878-Univer-MTS,Nil,"Philadelphia, PA",http://vocab.getty.edu/page/tgn/7014406,1878,University Singers of New Orleans
1878-Precio-MTS,Round,"Altoona, PA",http://vocab.getty.edu/page/tgn/7015966,1878,Precious Jewels
1878-Heaven-MTS,Round,"Dayton, OH",http://vocab.getty.edu/page/tgn/7013511,1878,Heavenly Carols
1878-Harves-MTS,Round,"Cincinnati, OH;Chicago, IL",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596,1878,The Harvest of Song
1877-Songso-MTS,Numeral staff,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1877,Songs of Gratitude
1876-Spirit-MTS,Round,"Dayton, OH",http://vocab.getty.edu/page/tgn/7013511,1876,Spiritual Hymns
1876-Songhe-MTS,Round,"Cincinnati, OH;Chicago, IL",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596,1876,The Song Herald
1874-Songer-MTS,Round,"Cincinnati, OH;Chicago, IL",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596,1874,The Song Era
1874-Melodi-MTS,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1874,Melodies of Heaven
1874-Corone-MTS,Seven-shape Funk,"Singers Glen, VA",http://vocab.getty.edu/page/tgn/2114254,1874,The Coronet
1874-Cabina-MTS,Round,"New York, NY",http://vocab.getty.edu/page/tgn/7007567,1874,Hampton And Its Students
1873-Manner-MTS,Round,"Cincinnnati, OH;Chicago, IL",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596,1873,The Männerchor
1872-Puredi-MTS,Round,"Cleveland, OH",http://vocab.getty.edu/page/tgn/7013608,1872,Pure Diamonds
1871-Truesi-MTS,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1871,The True Singing School Text Book
1871-Crowno-MTS,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1871,The Crown of Sunday School Songs
1871-Charmc-MTS,Round,"Chicago, IL",http://vocab.getty.edu/page/tgn/7013596,1871,The Charm
1870-WestVi-MTS,Seven-shape Funk,"Pennsboro, WV",http://vocab.getty.edu/page/tgn/2119543,1870,West Virginia Gems
1870-Sacred-MTS,Four-shape,"Atlanta, GA",http://vocab.getty.edu/page/tgn/7013331,1870,The Sacred Harp
1869-Christ-MTS,Nil,"Dayton, OH",http://vocab.getty.edu/page/tgn/7013511,1869,The Christian Hymn Book
1867-Songso-MTS,Round,"Richmond, VA",http://vocab.getty.edu/page/tgn/7013964,1867,Songs of Praise
1867-Jugend-MTS,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7007567,1867,Jugend-harfe
1867-Chants-MTS,Round,"Philadelphia, PA",http://vocab.getty.edu/page/tgn/7014406,1867,Chants and Responses
1864-Devoti-MTS,Round,"Philadelphia, PA",http://vocab.getty.edu/page/tgn/7014406,1864,The Devotional Hymn and Tune Book
1860-Church-MTS,Round,"New York, NY;Chicago, IL;Cincinnati, OH;Boston, MA",http://vocab.getty.edu/page/tgn/1002715;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013445,1860,Church Melodies
1859-Songsf-MTS,Round,"Boston, MA;Chicago, IL;Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013445;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7013604,1859,Songs for the Sabbath School and Vestry
1854-Church-MTS,Nil,"New York, NY;Chicago, IL;Buffalo, NY;Auburn, NY;Detroit, MI;Cincinnati, OH",http://vocab.getty.edu/page/tgn/1002715;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7013463;http://vocab.getty.edu/page/tgn/7013343;http://vocab.getty.edu/page/tgn/7013547;http://vocab.getty.edu/page/tgn/7013604,1854,The Church Psalmist
1853-Timbre-MTS,Seven-shape Aikin,"Philadelphia, PA;Pittsburg, PA;Cincinnati, OH;Chicago, IL;Indianapolis, IN;New York, NY;St. Louis, MO;Baltimore, MD;Louisville, KY;Atlanta, GA;Savannah, GA",http://vocab.getty.edu/page/tgn/7014406;http://vocab.getty.edu/page/tgn/7013927;http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7012924;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7013352;http://vocab.getty.edu/page/tgn/7013915;http://vocab.getty.edu/page/tgn/7013331;http://vocab.getty.edu/page/tgn/7014487,1853,The Timbrel of Zion
1853-Harpof-MTS,Four-shape,"New York, NY",http://vocab.getty.edu/page/tgn/7007567,1853,Harp of the South
1852-Romber-MTS,Round,"Boston, MA",http://vocab.getty.edu/page/tgn/7013445,1863,The Romberg Collection of Sacred Music
1850-Golden-MTS,Round,"Hartford, CT",http://vocab.getty.edu/page/tgn/7013695,1850,The Golden Lyre
1843-Manual-MTS,Round,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1843,Manual of Catholic Melodies
1833-Select-UTL,Nil,"New Echota, [GA]",,1832,The Gospel According to Matthew
1846-Cherok-UTL,Round,"Boston, MA",http://vocab.getty.edu/page/tgn/7013445,1846,The Cherokee Singing Book
1860-Maskok-UTL,Nil,"Marion, AL",http://vocab.getty.edu/page/tgn/2004382,1860,Mäskōke Hymns
1866-Cherok-UTL,Round,"Philadelphia, PA",http://vocab.getty.edu/page/tgn/7014406,1866,Cherokee Hymn Book
1875-Gospel-UTL,Round,"Cincinnati, OH;New York, NY;Chicago, IL",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013596,1875,Gospel Hymns and Sacred Songs
1880-Nakcok-UTL,Nil,"New York, NY",http://vocab.getty.edu/page/tgn/7007567,1880,Nakcokv Esyvhiketv
188x-Mvskok-UTL,Nil,"New York, NY?",http://vocab.getty.edu/page/tgn/7007567,1880?,Mvskoke Nettvcako Cokv-heckv Cokv Esyvhiketv
1887-Gospel-UTL,Seven-shape Aikin,"Cincinnati, OH;New York, NY;Chicago, IL",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013596,1887,Gospel Hymns No. 5
1892-Nusdvu-UTL,Nil,,,,
1906-Tsalag-UTL,Nil,,,1906,Cherokee Hymns
1910-Baptis-UTL,Nil,"Achille, OK",http://vocab.getty.edu/page/tgn/2082753,191x?,Baptist Hymn Book
1917-Mvskok-UTL,Nil,"Philadelphia, PA",http://vocab.getty.edu/page/tgn/7014406,1917,The Muskokee S. S. Song Book
1920-Hallel-UTL,Seven-shape Aikin,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,19xx?,Hallelujah Songs
1926-Nakcok-UTL,Nil,"Philadelphia, PA",http://vocab.getty.edu/page/tgn/7014406,1926,Nakcokv Esyvhiketv
1847-Sacred-SBT,Round,"Boston, MA",http://vocab.getty.edu/page/tgn/7013445,1847,The Sacred Harp
1851-Songso-SBT,Nil,"Charleston, SC",http://vocab.getty.edu/page/tgn/7013582,1851,Songs of Zion
1853-Hymnsf-SBT,Nil,"Richmond, VA",http://vocab.getty.edu/page/tgn/7022211,1853,Hymns for the Sunday Schools of the Baptist Churches
1854-Sweets-SBT,Nil,"Catlettsburg, KY",http://vocab.getty.edu/page/tgn/2038105,1854,The Sweet Songster
1856-Simple-SBT,Nil,"Charleston, SC",http://vocab.getty.edu/page/tgn/7013582,1856,Simple Rhymes
1857-Annive-SBT,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1857,Anniversary Hymns and Music
1859-HymnsF-SBT,Nil,"Richmond, VA",http://vocab.getty.edu/page/tgn/7013964,1859,Hymns
1860-Hymnss-SBT,Nil,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1860,"Hymns, Selected and Original, for Sunday-Schools of the Evangelical Lutheran Church"
1862-Sunday-SBT,Nil,"Macon, GA",http://vocab.getty.edu/page/tgn/7013980,1862,The Sunday School Bell
1865-Sunday-SBT,Nil,"Greenville, SC",http://vocab.getty.edu/page/tgn/7014143,1865,The Sunday School Hymn Book
1867-Gladti-SBT,Round,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1867,Glad Tidings
1870-Vocali-SBT,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1870,The Vocalist
1871-Linton-SBT,Round,Cincinnati,http://vocab.getty.edu/page/tgn/7013604,1871,Linton's Sparkling Gems
1871-NewChr-SBT,Numeral,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1871,New Christian Psalmist
1873-NewBa2-SBT,Seven-shape Aikin,"Memphis, TN",http://vocab.getty.edu/page/tgn/7017750,1873,The New Baptist Psalmist and Tune Book
1878-Newgos-SBT,Round,"Cincinnati, OH?",http://vocab.getty.edu/page/tgn/7013604,1878,New Gospel Music
1881-Nearer-SBT,Round,"St. Louis, MO",http://vocab.getty.edu/page/tgn/7014444,1881,Nearer my God to thee!
1897-Select-SBT,Round;Seven-shape Hood,"Louisville, KY",http://vocab.getty.edu/page/tgn/7013915,1897,Selections from Cheerful Songs
186x-Little-SBT,Nil,"Greenville, SC",http://vocab.getty.edu/page/tgn/7014143,1863,The Little Sunday School Hymn Book
1865-Newcel-SBT,Nil,"Greenville, SC",http://vocab.getty.edu/page/tgn/7014143,1865?,New Celebration Hymns
190x-Callne-SBT,Seven-shape Aikin;Round,"Fort Worth, TX",http://vocab.getty.edu/page/tgn/7013934,190x?,The Call
1894-Hymnss-SBT,Nil,"Columbus, GA",http://vocab.getty.edu/page/tgn/7013643,1894?,Hymns
1919-Whenmi-SBT,Round,,,1919?,When Millions Come Pouring In
1884-Kleine-SBT,,"Cincinnati, OH; Chicago, IL; St. Louis, MO; New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7007567,1884,Der Kleine Psalter
1887-Hymnsn-SBT,Round,"Chicago, IL;New York, NY",http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7007567,1887,Hymns New and Old
1888-Favori-SBT,Round;Numeral staff,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1888,Favorite Hymns
1889-Stouth-SBT,Nil,"Atlanta, GA",http://vocab.getty.edu/page/tgn/7013331,1889,The Stout Hymn Book
1891-Choice-SBT,Nil,"Louisville, KY",http://vocab.getty.edu/page/tgn/7013915,1891,The Choice
1891-Hymnsn-SBT,Round,"Louisville, KY",http://vocab.getty.edu/page/tgn/7013915,1891,Hymns New and Old
1892-Manly1-SBT,Nil,"Louisville, KY",http://vocab.getty.edu/page/tgn/7013915,1892,Manly's Choice
1892-Manly2-SBT,Round,"Louisville, KY",http://vocab.getty.edu/page/tgn/7013915,1892,Manly's Choice
1895-Dawnin-SBT,Seven-shape Aikin,"Waco, TX",http://vocab.getty.edu/page/tgn/7014575,1895,The Dawning Light
1895-Spirit-SBT,Round,"Dayton, OH",http://vocab.getty.edu/page/tgn/7013511,1895,Spirit and Life No. 2
1899-Salvat-SBT,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1899,Salvation Melodies
1900-Church-SBT,Round,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1900,Church Hymns and Gospel Songs
1900-Sacre1-SBT,Round,"Chicago, IL",http://vocab.getty.edu/page/tgn/7013596,1900?,Sacred and Secular Selections
1901-Lastin-SBT,Round,"Cincinnati, OH;Louisville, KY;Nashville, TN",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013915;http://vocab.getty.edu/page/tgn/7013959,1901,Lasting Hymns
1901-Sunday-SBT,Round,"St. Louis, MO",http://vocab.getty.edu/page/tgn/7014444,1901,Sunday-School Hymnal
1902-Sacred-SBT,Seven-shape Aikin,"Kansas City, MO;Cincinnati, OH;Dallas, TX",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013820;http://vocab.getty.edu/page/tgn/7013503,1902,Sacred Songking
1904-Praise-SBT,Round,"St. Louis, MO;Indianapolis, IN",http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7012924,1904,Praises to the Prince
1905-Newson-SBT,,"Philadelphia, PA;New York, NY",http://vocab.getty.edu/page/tgn/7014406;http://vocab.getty.edu/page/tgn/7007567,1905,New Songs of the Gospel No. 2
1908-Gemsof-SBT,Round,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1908,Gems of Christmas Song
1908-Progra-SBT,Round,"Philadelphia, PA",http://vocab.getty.edu/page/tgn/7014406,1908,Programme and Music for the Baptist Anniversaries
1909-Melodi-SBT,Round;Seven-shape Aikin,"Louisville, KY",http://vocab.getty.edu/page/tgn/7013915,1909,Melodious Songs
1909-Newglo-SBT,,"Dalton, GA
Dallas, TX",http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/7013503,1909,New Glory Songs
1909-Primit-SBT,Round,"St. Joseph, MO",http://vocab.getty.edu/page/tgn/7014443,1909,The Primitive Baptist Hymnal
1909-Singet-SBT,,"St. Louis, MO;Chicago, IL",http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7013596,1909,Singet dem Herrn
