ssdl:pid,ssdl:notation,ssdl:placeOfPublication,ssdl:spatialCoverageGettyUri,ssdl:dateOfPublication,ssdl:shortTitle
1879-Sacred-EMU,Nil,"Chattanooga, TN",http://vocab.getty.edu/page/tgn/7017496,1879,Sacred Melodies
1879-Songvi-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1879,The Song Victor
1879-Wreath-EMU,Round,"New York, NY
Atlanta, GA","http://vocab.getty.edu/page/tgn/7007567
http://vocab.getty.edu/page/tgn/7013331",1879,The Wreath of Gems
1880-Childr-EMU,Round,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1880,Children's Hosannas
1880-Hymnsx-EMU,Nil,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1880,Hymns
1880-Joyand-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1880,Joy and Gladness
1880-Newhy1-EMU,Round,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1880,The New Hymn and Tune Book
1880-Newhy2-EMU,Nil,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1880,The New Hymn-Book.
1880-Songse-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1880,Songs Sermons
1912-Tribut-EMU,Seven-shape Aikin,"Atlanta, GA",http://vocab.getty.edu/page/tgn/7013331,1912?,Tribute of Praise
1881-Evange-EMU,Round,"St. Charles, MO",http://vocab.getty.edu/page/tgn/2060333,1881,Evangelisches Gesangbuch
1881-Himnar-EMU,Round,México,http://vocab.getty.edu/page/tgn/7005560,1881,Himnario de la Iglesia Metodista Episcopal
1881-Redeem-EMU,Round,"Cincinnati, OH;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567,1881,Redeemer's Praise
1881-Twilig-EMU,Round,"St. Louis, MO",http://vocab.getty.edu/page/tgn/7014444,1881,Twilight Zephyrs
1882-Gracea-EMU,Round,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1882,Grace and Glory
1882-Juveni-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1882,The Juvenile Class and Concert
1882-NewChr-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1882,New Christian Hymn and Tune-Book.
1882-Psalms-EMU,Round,"Richmond, VA;New York, NY",http://vocab.getty.edu/page/tgn/7013964;http://vocab.getty.edu/page/tgn/7007567,1882,"Psalms and Hymns, and Spiritual Songs"
1882-Realmo-EMU,Round,"Cincinnati, OH;Chicago, IL",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596,1882,The Realm of Song
