FILENAME ID,HEIGHT,WIDTH,FROM
1899-Sacred-UKY,21cm,14cm,
1899-Songso-UKY,20.5 cm,14.5 cm,
1900-Beauti-UKY,21.5cm,14.5cm,
1901-Hymnso-UKY,20cm,13.5cm,
1901-Planta-UKY,30.5 cm,23 cm,
1901-Youngp-UKY,20.5 cm,14.5 cm,
1902-Singin-UKY,19cm,14.5cm,
1903-Joyful-UKY,20.5 cm,14 cm,
1903-Standa-UKY,20.5 cm,14 cm,
1906-Bookof-UKY,13.5 cm,8.5 cm,
1906-Creamo-UKY,20 cm,13.5 cm,
1907-Fiftyt-UKY,20.5cm,14.5cm,
1907-NewChr-UKY,21.5 cm,15 cm,
1908-Christ-UKY,14cm,18.5cm,
1908-Crowni-UKY,21cm,14cm,
1909-Briefh-UKY,23.5 cm,15.5 cm,
1909-Songso-UKY,20.5 cm,13.5 cm,
1910-Gospel-UKY,19.5 cm,13.5 cm,
1910-Zionme-UKY,19.5 cm,14 cm,
1911-Greate-UKY,20.5 cm,14.5 cm,
1911-Hymnso-UKY,17 cm,13 cm,
1911-Neweva-UKY,20 cm,13 cm,
1911-Redemp-UKY,19.5cm,14cm,
1911-Spirit-UKY,22 cm,16 cm,
1912-Songcr-UKY,19.5cm,13.2cm,
1914-Carmin-UKY,22cm,15cm,
1915-Soulst-UKY,19.5 cm,13.5 cm,
1916-Golden-UKY,19.5cm,14cm,
1916-Gospel-UKY,20.5cm,14cm,
1917-Nobody-UKY,31 cm,24 cm,
1918-Bigqua-UKY,20.5cm,13.5cm,
1918-ChantN-UKY,30.5cm,23cm,
1918-Victor-UKY,19.5 cm,13.5 cm,
1919-Navyso-UKY,10 cm,13.5 cm,
1919-Praise-UKY,19.5cm,13.5cm,
1919-Things-UKY,30 cm,22.5 cm,
1921-Temple-UKY,19.5 cm,13.5 cm,
1921-Waveso-UKY,21.5cm,15cm,
1921-Worldw-UKY,20cm,13.5cm,
1922-Firstb-UKY,20.5cm,15.5cm,
1923-Cokesb-UKY,21cm`,15cm,
1923-Songso-UKY,19.5 cm,14 cm,
1924-Fiftye-UKY,27.5cm,20cm,
1924-Fullgo-UKY,19.5cm,13.5cm,
1924-Gospel-UKY,19.5cm,13.5cm,
1925-Bookof-UKY,26 cm,19.5 cm,
1925-Hymnso-UKY,20.5 cm,15 cm,
1925-Realiz-UKY,23.5cm,16cm,
1925-Twelve-UKY,31 cm,24.5 cm,
1926-Dontle-UKY,30.5cm,23.5cm,
192x-Wonder-UKY,21 cm,14.5 cm,UK-1
1854-Hymnsf-UKY,12 cm,8 cm,
1854-Southe-UKY,15 cm,24 cm,
1860-Sabbat-UKY,12 cm,15 cm,
1860-Select-UKY,13.5 cm,8.5 cm,
1886-Workan-UKY,15 cm,18 cm,
1889-Starof-UKY,15 cm,24.5 cm,
1853-Dyersp-UKY,12.5 cm,8 cm,
1860-Sacred-UKY,23.5 cm,14.5 cm,
1883-Gospel-UKY,21cm,16cm,
1886-Royalp-UKY,17 cm,24.5 cm,
1892-Living-UKY,21 cm,15 cm,
1899-Notes2-UKY,15 cm,19 cm,
1899-Reviva-UKY,19.5 cm,13.5 cm,
1901-Malequ-UKY,22.5 cm,15.5 cm,
1905-Twenty-UKY,32 cm,24.5 cm,
1910-Alexan-UKY,21 cm,14 cm,
1913-Eureka-UKY,20 cm,14 cm,
1919-Hampto-UKY,26 cm,18 cm,
191x-Americ-UKY,31 cm,23 cm,
1921-Elmhur-UKY,21 cm,15.5 cm,
1844-Hymnbo-UKY,13cm,8cm,
1851-Psalmi-UKY,16 cm,24 cm,
1854-Singer-UKY,15.4cm,11cm,
1899-Tearsa-UKY,21 cm,15 cm,
1906-Newpra-UKY,21,15,
1886-Gospel-UKY,19,12,
1914-Hosann-UKY,20,14,
1896-Temple-UKY,20,14,
1893-Billow-UKY,21,14,
1893-Spirit-UKY,22,15,
1907-Reviva-UKY,20,14,
1915-Victor-UKY,20.5 cm,13.5 cm,
19xx-Nation-UKY,22 cm,14.5 cm,
1852-Zionsh-UKY,13.5 cm,9 cm,UKY-2
1829-Chahta-UTL,15cm,9cm,
1829-Cherok-UTL,12cm,8cm,
1835-Shorts-UTL,4.5 cm (5 11/16 in),9.3 cm (3 5/8 in),
1835-Triump-UTL,"14,5cm",9cm,
1854-Cherok-UTL,13cm,8cm,
1858-Chahta-UTL,"14,5cm",10cm,
1866-Potewa-UTL,"10,5cm","6,5cm",
1888-Cherok-UTL,"14,5cm","10,5cn",Tulsa - 1
1833-Select-UTL,13 cm,8 cm,
1910-Baptis-UTL,13 cm,19.5 cm,
1860-Maskok-UTL,12.5 cm,8 cm,
1875-Gospel-UTL,20.5 cm,13.5 cm,
1887-Gospel-UTL,20.5 cm,13.5 cm,
1920-Hallel-UTL,19.5 cm,13.5 cm,
1906-Tsalag-UTL,14 cm,11 cm,
1846-Cherok-UTL,16.5 cm,24.5 cm,
1892-Nusdvu-UTL,23 cm,15 cm,
1866-Cherok-UTL,13 cm,8.5 cm,
1884-Mvskok-UTL,15 cm,10 cm,
1917-Mvskok-UTL,15 cm,10.5 cm,
1926-Nakcok-UTL,12 cm,8.5 cm,
1880-Nakcok-UTL,14 cm,9 cm,Tulsa - 2
1847-Sacred-SBT,15,24,
1851-Songso-SBT,14.5,10,
1852-Zionsh-SBT,13,9,
1853-Hymnsf-SBT,13.5,8.5,
1854-Sweets-SBT,13,9,
1856-Simple-SBT,15,10,
1857-Notesa-SBT,15,10,
1858-Annive-SBT,11.5,14.5,
1859-HymnsF-SBT,13,8.5,
185x-Annive-SBT,11.5,14.5,
