ssdl:pid,ssdl:placeOfContributorAffiliation,ssdl:placeOfContributorAffiliationUri,ssdl:dateOfPublication,ssdl:shortTitle
1914-Glorio-SBT,"United States, Tennessee, Lawrence, Lawrenceburg;United States, North Carolina, Buncombe, Asheville;United States, South Carolina, Greenville, Greenville;United States, South Carolina, Pickens;United States, Texas, Cass",http://vocab.getty.edu/page/tgn/2100022;http://vocab.getty.edu/page/tgn/7013325;http://vocab.getty.edu/page/tgn/7014143;http://vocab.getty.edu/page/tgn/2001763;http://vocab.getty.edu/page/tgn/1002244,1914,Glorious Refrain
1916-Gospel-SBT,"United States, Texas, Tarrant, Fort Worth;United States, Oklahoma, Oklahoma, Oklahoma City;United States, Texas, Freestone, Wortham;United States, Texas, Smith, Mount Sylvan;United States, Texas, Hopkins, Sulphur Springs;United States, Louisiana, Caddo, Shreveport;United States, Illinois, Cook, River Forest;United States, Pennsylvania, Berks, Reading;United States, Georgia, Grady, Cairo;United States, Georgia, Fulton, Atlanta;United States, Texas, Wood, Alba;United States, Texas, McLennan, Waco;United States, Oklahoma, Cotton, Walters;United States, Tennessee, Hamilton, Chattanooga;United States, Texas, Van Zandt, Wills Point;United States, Arkansas, Clay, Peach Orchard;United States, Texas, Hopkins;United States, Texas, Hunt;United States, Texas, Navarro;United States, Texas, Cherokee, Jacksonville;United States, Texas, Comanche, Comanche;United States, Texas, Tarrant, Fort Worth;United States, Texas, Wood, Alba;United States, Mississippi, Newton, Newton;United States, Texas, Hopkins Co;United States, Kentucky, McLean, Calhoun;United States, Alabama, Geneva, Fadette;United States, Texas, Navarro;United States, Texas, Dallas, Dallas;United States, Texas, Eastland, Ranger;United States, Texas, Hood, Acton;United States, Oklahoma, Harmon, Hollis;United States, Texas, Eastland, Carbon;United States, Ohio, Knox, Mount Vernon",http://vocab.getty.edu/page/tgn/7013934;http://vocab.getty.edu/page/tgn/7013953;http://vocab.getty.edu/page/tgn/2108629;http://vocab.getty.edu/page/tgn/2106176;http://vocab.getty.edu/page/tgn/2107886;http://vocab.getty.edu/page/tgn/7014504;http://vocab.getty.edu/page/tgn/7014340;http://vocab.getty.edu/page/tgn/7014314;http://vocab.getty.edu/page/tgn/2022319;http://vocab.getty.edu/page/tgn/7013331;http://vocab.getty.edu/page/tgn/2102265;http://vocab.getty.edu/page/tgn/7014575;http://vocab.getty.edu/page/tgn/2084212;http://vocab.getty.edu/page/tgn/7017496;http://vocab.getty.edu/page/tgn/2108560;http://vocab.getty.edu/page/tgn/2009191;http://vocab.getty.edu/page/tgn/1002485;http://vocab.getty.edu/page/tgn/1002492;http://vocab.getty.edu/page/tgn/1002709;http://vocab.getty.edu/page/tgn/2105207;http://vocab.getty.edu/page/tgn/2103388;http://vocab.getty.edu/page/tgn/7013934;http://vocab.getty.edu/page/tgn/2102265;http://vocab.getty.edu/page/tgn/2057085;http://vocab.getty.edu/page/tgn/1002485;http://vocab.getty.edu/page/tgn/2038035;http://vocab.getty.edu/page/tgn/2003447;http://vocab.getty.edu/page/tgn/1002709;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/2107036;http://vocab.getty.edu/page/tgn/2102228;http://vocab.getty.edu/page/tgn/2083371;http://vocab.getty.edu/page/tgn/2103116;http://vocab.getty.edu/page/tgn/2080902,1916,Gospel Herald
1919-Hymnso-SBT,"United States, Tennessee, Hamilton, Chattanooga",http://vocab.getty.edu/page/tgn/7017496,1919?,The Hymns of the Cross
1919-Majest-SBT,"United States, Texas, Freestone, Wortham;United States, Texas, Tarrant, Fort Worth;United States, Louisiana, Caddo, Shreveport;United States, Oklahoma, Oklahoma, Oklahoma City;United States, Texas, Hopkins, Sulphur Springs;United States, Texas, Wood, Alba;United States, Texas, Hopkins;United States, Texas, Cherokee, Jacksonville;United States, Texas, Tarrant, Fort Worth",http://vocab.getty.edu/page/tgn/2108629;http://vocab.getty.edu/page/tgn/7013934;http://vocab.getty.edu/page/tgn/7014504;http://vocab.getty.edu/page/tgn/7013953;http://vocab.getty.edu/page/tgn/2107886;http://vocab.getty.edu/page/tgn/2102265;http://vocab.getty.edu/page/tgn/1002485;http://vocab.getty.edu/page/tgn/2105207;http://vocab.getty.edu/page/tgn/7013934,1919?,Majestic Melodies
1929-Souli1-SBT,"United States, Tennessee, Hamilton, Chattanooga",http://vocab.getty.edu/page/tgn/7017496,1929,Soul Inspiring Songs
1929-Souli2-SBT,"United States, Tennessee, Rhea, Dayton",http://vocab.getty.edu/page/tgn/2098772,1929,Soul Inspiring Songs
1924-Gospel-SBT,"United States, Tennessee, Knox, Knoxville;United States, Arkansas, Pulaski, North Little Rock;United States, Tennessee, Lincoln, Elora;United States, North Carolina, Granville, Berea;United States, Mississippi, Monroe, Hatley;United States, Georgia, Wheeler, Alamo;United States, Georgia, Grady, Cairo;United States, Alabama, Marshall, Albertville;United States, Tennessee, McMinn, Etowah;United States, Oklahoma, Bryan, Matoy;United States, Texas, Hopkins, Cumby;United States, Texas, Smith, Mount Sylvan;United States, Georgia, Fulton, Atlanta;United States, Tennessee, Monroe, Tellico Plains;United States, Georgia, Dougherty;United States, Texas, Madison;United States, Kentucky, Barren;United States, North Carolina, Granville, Berea;United States, Tennessee, Lincoln, Elora;United States, Texas, Hopkins Co;United States, Ohio, Summit, Akron;United States, Texas, Bowie Co;United States, Alabama, Calhoun, Union",http://vocab.getty.edu/page/tgn/7013841;http://vocab.getty.edu/page/tgn/2009067;http://vocab.getty.edu/page/tgn/2098977;http://vocab.getty.edu/page/tgn/2073683;http://vocab.getty.edu/page/tgn/2056582;http://vocab.getty.edu/page/tgn/2021884;http://vocab.getty.edu/page/tgn/2022319;http://vocab.getty.edu/page/tgn/2002425;http://vocab.getty.edu/page/tgn/2099013;http://vocab.getty.edu/page/tgn/2083583;http://vocab.getty.edu/page/tgn/2103563;http://vocab.getty.edu/page/tgn/2106176;http://vocab.getty.edu/page/tgn/7013331;http://vocab.getty.edu/page/tgn/2101781;http://vocab.getty.edu/page/tgn/2000338;http://vocab.getty.edu/page/tgn/1002626;http://vocab.getty.edu/page/tgn/2000768;http://vocab.getty.edu/page/tgn/2073683;http://vocab.getty.edu/page/tgn/2098977;http://vocab.getty.edu/page/tgn/1002485;http://vocab.getty.edu/page/tgn/7013265;http://vocab.getty.edu/page/tgn/2001944;http://vocab.getty.edu/page/tgn/2738626,1924,Gospel Sunshine
1924-Gracea-SBT,"United States, Missouri, Jackson, Kansas City",http://vocab.getty.edu/page/tgn/7013820,1924,Grace and Glory Carols
1924-Songpr-SBT,"United States, Texas, Tarrant, Fort Worth;United States, Oklahoma, Canadian, El Reno;United States, Alabama, Chilton, Thorsby;United States, Georgia, Grady, Cairo;United States, Texas, Bexar, San Antonio;United States, Illinois, Cook, River Forest;United States, Texas, Smith, Mount Sylvan;United States, Texas, Cass;United States, Texas, Cherokee, Jacksonville;United States, Texas, Montague, Bowie;United States, Texas, Knox, Sunset;United States, Texas, Eastland, Carbon;United States, Arkansas, Benton, War Eagle;United States, Colorado, Las Animas, Morley",http://vocab.getty.edu/page/tgn/7013934;http://vocab.getty.edu/page/tgn/2083169;http://vocab.getty.edu/page/tgn/2005503;http://vocab.getty.edu/page/tgn/2022319;http://vocab.getty.edu/page/tgn/7014453;http://vocab.getty.edu/page/tgn/7014340;http://vocab.getty.edu/page/tgn/2106176;http://vocab.getty.edu/page/tgn/1002244;http://vocab.getty.edu/page/tgn/2105207;http://vocab.getty.edu/page/tgn/2102849;http://vocab.getty.edu/page/tgn/2704650;http://vocab.getty.edu/page/tgn/2103116;http://vocab.getty.edu/page/tgn/2120372;http://vocab.getty.edu/page/tgn/2016008,1924,Song Praise
1925-Christ-SBT,"United States, Alabama, Jefferson, Birmingham;United States, Alabama, Geneva, Coffee Springs;United States, California, Riverside, Riverside;United States, Arkansas, Faulkner, Mount Vernon;United States, Mississippi, Pontotoc, Pontotoc;United States, Alabama, Franklin, Belgreen;United States, Alabama, Lamar, Millport;United States, Alabama, Walker, Oakman;United States, Arkansas, Conway, Springfield;United States, Alabama, Fayette, Berry;United States, Alabama, Lamar, Detroit;United States, Arkansas, Lonoke, Butlerville;United States, Alabama, Blount, Easley;United States, Alabama, Marion, Guin;United States, Alabama, Chilton, Cooper;United States, Texas, Haskell;United States, Kentucky, Hopkins, Anton;United States, Texas, Coryell, Copperas Cove;United States, Alabama, Tuscaloosa;United States, Mississippi, Monroe, Quincy;United States, Mississippi, Pontotoc, Zion;United States, Missouri, Johnson, Centerview;United States, Arkansas, Faulkner, Wooster",http://vocab.getty.edu/page/tgn/7013425;http://vocab.getty.edu/page/tgn/2003142;http://vocab.getty.edu/page/tgn/7015406;http://vocab.getty.edu/page/tgn/2009009;http://vocab.getty.edu/page/tgn/2057270;http://vocab.getty.edu/page/tgn/2002612;http://vocab.getty.edu/page/tgn/2004459;http://vocab.getty.edu/page/tgn/2004744;http://vocab.getty.edu/page/tgn/2009551;http://vocab.getty.edu/page/tgn/2002635;http://vocab.getty.edu/page/tgn/2003298;http://vocab.getty.edu/page/tgn/2007860;http://vocab.getty.edu/page/tgn/2058617;http://vocab.getty.edu/page/tgn/2003739;http://vocab.getty.edu/page/tgn/2254897;http://vocab.getty.edu/page/tgn/2002000;http://vocab.getty.edu/page/tgn/2037504;http://vocab.getty.edu/page/tgn/2103428;http://vocab.getty.edu/page/tgn/2005546;http://vocab.getty.edu/page/tgn/7007522;http://vocab.getty.edu/page/tgn/2057830;http://vocab.getty.edu/page/tgn/2058317;http://vocab.getty.edu/page/tgn/2009853,1925,Christian Praise
1910-Reviva-SBT,"United States, Tennessee, Shelby, Memphis;United States, Texas, Tarrant, Fort Worth;United States, Texas, Cherokee, Jacksonville",http://vocab.getty.edu/page/tgn/7017750;http://vocab.getty.edu/page/tgn/7013934;http://vocab.getty.edu/page/tgn/2105207,19xx?,Revival Tidings
1873-Amaran-UKY,"United States, Georgia, Fulton, Atlanta;United States, Tennessee, Davidson, Nashville;United States, Tennessee, Giles, Pulaski",http://vocab.getty.edu/page/tgn/7013331;http://vocab.getty.edu/page/tgn/7013959;http://vocab.getty.edu/page/tgn/2101146,1872,The Amaranth
1900-Beauti-UKY,"United States, Kentucky, Hardin, Elizabethtown",http://vocab.getty.edu/page/tgn/2038674,1900?,Beautiful Songs of Zion
1914-Carmin-UKY,"United States, Indiana, Marion, Indianapolis;United States, Illinois, Cook, Chicago",http://vocab.getty.edu/page/tgn/7012924;http://vocab.getty.edu/page/tgn/7013596,1914?,Carmina Sacra
1871-Songki-UKY,,,1871,The Song King
1874-Hallow-UKY,"United States, New York, New York",http://vocab.getty.edu/page/tgn/1002715,1874,Hallowed Songs
1878-Hymna2-UKY,"United States, New York, Washington, Kingsbury;United States, New York, Ulster, Highland;United States, New York, Oneida, Verona;United States, New Jersey, Burlington, Mount Holly;United States, Rhode Island, Providence, Providence;United States, Connecticut, Middlesex, Middletown;United States, Maine, Somerset, Fairfield;United States, Indiana, Spencer, Evanston;United States, Illinois, Cook, Chicago;United States, Ohio, Cuyahoga, Cleveland;United States, Michigan, Wayne, Detroit;United States, New York, New York;United States, New York, Kings;United States, Massachusetts, Suffolk, Boston",http://vocab.getty.edu/page/tgn/2070015;http://vocab.getty.edu/page/tgn/2069701;http://vocab.getty.edu/page/tgn/2072884;http://vocab.getty.edu/page/tgn/2065526;http://vocab.getty.edu/page/tgn/7013952;http://vocab.getty.edu/page/tgn/7014047;http://vocab.getty.edu/page/tgn/2044823;http://vocab.getty.edu/page/tgn/2031750;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7013608;http://vocab.getty.edu/page/tgn/7013547;http://vocab.getty.edu/page/tgn/1002715;http://vocab.getty.edu/page/tgn/1002551;http://vocab.getty.edu/page/tgn/7013445,1878,Hymnal of the Methodist Episcopal Church
1879-Hourso-UKY,"United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/7013604,1879,Hours of Song
1890-Finest-UKY,"United States, Illinois, Cook, Cicero;United States, Pennsylvania, Delaware, Chester;United States, Pennsylvania, Philadelphia, Philadelphia;United States, Illinois, Stephenson, Freeport;United States, New York, Kings;Canada, Ontario, Toronto;Canada, Ontario, Brantford",http://vocab.getty.edu/page/tgn/2027172;http://vocab.getty.edu/page/tgn/7015967;http://vocab.getty.edu/page/tgn/7014406;http://vocab.getty.edu/page/tgn/2027931;http://vocab.getty.edu/page/tgn/1002551;http://vocab.getty.edu/page/tgn/7013284;http://vocab.getty.edu/page/tgn/7013007,1890,The Finest of the Wheat
1843-Dupuys-UKY,"United States, Illinois, Saint Clair;United States, Tennessee, Fayette",http://vocab.getty.edu/page/tgn/7016022;http://vocab.getty.edu/page/tgn/2001860,1843,Dupuy's Hymns and Spiritual Songs
1850-Hymnsf-UKY,"United States, New York, Dutchess, Poughkeepsie;United States, Maryland, independent city, Baltimore;United States, Ohio, Hamilton, Cincinnati;United States, New Jersey, Somerset, Bernardsville;United States, Iowa, Henry, Mount Pleasant;United States, Pennsylvania, Philadelphia, Kensington;United States, New York, Wyoming, Perry;United States, Rhode Island, Providence, Providence;United States, New Jersey, Newark;United States, New York, New York;United States, New York, Kings",http://vocab.getty.edu/page/tgn/7014282;http://vocab.getty.edu/page/tgn/7013352;http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/2064114;http://vocab.getty.edu/page/tgn/2035303;http://vocab.getty.edu/page/tgn/7015992;http://vocab.getty.edu/page/tgn/2071613;http://vocab.getty.edu/page/tgn/7013952;http://vocab.getty.edu/page/tgn/7014218;http://vocab.getty.edu/page/tgn/1002715;http://vocab.getty.edu/page/tgn/1002551,1850,Hymns for the Use of the Methodist Episcopal Church
1851-Christ-UKY,"United States, Ohio, Hamilton, Cincinnati;United States, Indiana, Clark, Charlestown",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/2031350,1851,The Christian Psalmist
1858-Christ-UKY,"United States, Ohio, Seneca, Melmore",http://vocab.getty.edu/page/tgn/2080682,1858,The Christian Songster
1866-Christ-UKY,"United States, Ohio, Clark, Enon;United States, Ohio, Darke, Greenville;United States, Ohio, Miami",http://vocab.getty.edu/page/tgn/2079460;http://vocab.getty.edu/page/tgn/2079824,1866,The Christian Hymn Book
1872-Collec-UKY,"United States, Ohio, Miami, Covington",http://vocab.getty.edu/page/tgn/2079133,1872,"A Collection of Psalms, Hymns, and Spiritual Songs"
1872-Gloryc-UKY,"United States, Illinois, Cook, Chicago",http://vocab.getty.edu/page/tgn/7013596,1872,The Glory
1878-Hymna1-UKY,"United States, New York, Washington, Kingsbury;United States, New York, Ulster, Highland;United States, New York, Oneida, Verona;United States, New Jersey, Burlington, Mount Holly;United States, Rhode Island, Providence, Providence;United States, Connecticut, Middlesex, Middletown;United States, Maine, Somerset, Fairfield;United States, Indiana, Spencer, Evanston;United States, Illinois, Cook, Chicago;United States, Ohio, Cuyahoga, Cleveland;United States, Michigan, Wayne, Detroit;United States, New York, New York;United States, New York, Kings",http://vocab.getty.edu/page/tgn/2070015;http://vocab.getty.edu/page/tgn/2069701;http://vocab.getty.edu/page/tgn/2072884;http://vocab.getty.edu/page/tgn/2065526;http://vocab.getty.edu/page/tgn/7013952;http://vocab.getty.edu/page/tgn/7014047;http://vocab.getty.edu/page/tgn/2044823;http://vocab.getty.edu/page/tgn/2031750;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7013608;http://vocab.getty.edu/page/tgn/7013547;http://vocab.getty.edu/page/tgn/1002715;http://vocab.getty.edu/page/tgn/1002551,1878,Hymnal of the Methodist Episcopal Church
1895-Voice2-UKY,"United States, Kentucky, Hardin, Elizabethtown",http://vocab.getty.edu/page/tgn/2038674,1895,Voice of Praise
1925-Bookof-UKY,"United States, Massachusetts, Suffolk, Boston;United States, New York, New York",http://vocab.getty.edu/page/tgn/7013445;http://vocab.getty.edu/page/tgn/1002715,1925,The Book of American Negro Spirituals
1853-Shawml-UKY,"United States, New York, New York;United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/1002715;http://vocab.getty.edu/page/tgn/7013604,http://vocab.getty.edu/page/tgn/7007567,The Shawm
1870-NewChr-UKY,"United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/7013604,1870,The New Christian Choralist
1871-Sparkl-UKY,"United States, Indiana, Washington, Blue River",http://vocab.getty.edu/page/tgn/2031126,1871,Sparkling Jewels for the Sunday School.
1872-Hymnso-UKY,,,,
1886-Carolb-UKY,"United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/7013604,1886,The Carol
1894-Tearsa-UKY,"United States, Ohio, Hamilton, Cincinnati;United States, Kentucky, Jessamine, Wilmore;United States, Georgia, Newton",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/2041979;http://vocab.getty.edu/page/tgn/2000398,1894,Tears and Triumphs
1897-Tearsa-UKY,"United States, Kentucky, Jessamine, Wilmore;United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/2041979;http://vocab.getty.edu/page/tgn/7013604,1897,Tears and Triumphs No. 2
1902-Singin-UKY,"United States, Georgia, Whitfield, Dalton;United States, Alabama, Jefferson;United States, Texas, Comanche",http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/2000036;http://vocab.getty.edu/page/tgn/2001962,1902,Singing for Joy
1906-Creamo-UKY,"United States, Kentucky, Jessamine, Wilmore;United States, Georgia, Lowndes, Valdosta;United States, Delaware, New Castle, Wilmington",http://vocab.getty.edu/page/tgn/2041979;http://vocab.getty.edu/page/tgn/2024591;http://vocab.getty.edu/page/tgn/7014632,1906,Cream of Song
1909-Briefh-UKY,"United States, North Carolina, Forsyth, Winston-Salem",http://vocab.getty.edu/page/tgn/7014637,1909,A Brief History of the Moravian Church
1915-Soulst-UKY,"United States, Tennessee, Davidson, Nashville",http://vocab.getty.edu/page/tgn/7013959,1915?,Soul Stirring Songs
1919-Navyso-UKY,,,1919,Navy Song Book
1921-Waveso-UKY,,,1921,Waves of Glory Number Two
1875-Choira-UKY,"United States, Illinois, Cook, Chicago",http://vocab.getty.edu/page/tgn/7013596,1875,The Choir and Congregation
1882-Christ-UKY,"United States, Kentucky, Jefferson, Louisville;United States, Kentucky, Fayette, Lexington;United States, Georgia, Richmond, Augusta;United States, Indiana, Marion, Indianapolis;United States, Indiana, Madison, Anderson;United States, Ohio, Hamilton, Cincinnati;United States, Missouri, independent city, Saint Louis",http://vocab.getty.edu/page/tgn/7013915;http://vocab.getty.edu/page/tgn/7013887;http://vocab.getty.edu/page/tgn/7017498;http://vocab.getty.edu/page/tgn/7012924;http://vocab.getty.edu/page/tgn/7013300;http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7014444,1882,The Christian Hymnal : Revised
1885-Christ-UKY,"United States, Kentucky, Jefferson, Louisville;United States, Kentucky, Fayette, Lexington;United States, Georgia, Richmond, Augusta;United States, Indiana, Marion, Indianapolis;United States, Indiana, Madison, Anderson",http://vocab.getty.edu/page/tgn/7013915;http://vocab.getty.edu/page/tgn/7013887;http://vocab.getty.edu/page/tgn/7017498;http://vocab.getty.edu/page/tgn/7012924;http://vocab.getty.edu/page/tgn/7013300,1885,The Christian Hymnal : Revised
1898-Crowni-UKY,"United States, Virginia, Rockingham, Dayton",http://vocab.getty.edu/page/tgn/2111441,1898,Crowing Day No. 3
1901-Planta-UKY,"United States, Ohio, Cuyahoga, Cleveland;United States, Ohio, Meigs, Kerrs Run;United States, District of Columbia, Washington;United States, New York, Kings",http://vocab.getty.edu/page/tgn/7013608;http://vocab.getty.edu/page/tgn/2435557;http://vocab.getty.edu/page/tgn/7013962;http://vocab.getty.edu/page/tgn/1002551,1901,Plantation Melodies Old and New
1908-Crowni-UKY-deprecated,,,,
1911-Neweva-UKY,"United States, Texas, Dallas, Dallas;United States, Kansas, Labette, Altamont",http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/2035976,1911,The New Evangel
1917-Nobody-UKY,"United States, New York, Bronx",http://vocab.getty.edu/page/tgn/1002204,1917,Nobody Knows de Trouble I've Seen
1918-Bigqua-UKY,"United States, Alabama, Jefferson, Bessemer;United States, Alabama, Elmore, Seman;United States, Virginia, Tazewell, Burkes Garden;United States, Georgia, Douglas, Douglasville",http://vocab.getty.edu/page/tgn/2002637;http://vocab.getty.edu/page/tgn/2005256;http://vocab.getty.edu/page/tgn/2110882;http://vocab.getty.edu/page/tgn/2022711,1918,The Big Quartet Book
1918-ChantN-UKY,"United States, Massachusetts, Suffolk, Boston",http://vocab.getty.edu/page/tgn/7013445,1918,Chant
1919-Things-UKY,"United States, New York, New York",http://vocab.getty.edu/page/tgn/1002715,1919,Things Up Yonder White As Snow
1924-Fiftye-UKY,"United States, New York, New York;United States, New York, Tompkins, Ithaca",http://vocab.getty.edu/page/tgn/1002715;http://vocab.getty.edu/page/tgn/7013803,1924?,Fifty-Eight Spirituals for Choral Use
1925-Twelve-UKY,"United Kingdom, England, Greater London, London, Kensington and Chelsea, Kensington",http://vocab.getty.edu/page/tgn/4012698,1925?,Twelve Negro Spiritual Songs
1926-Dontle-UKY,"United States, New York, New York",http://vocab.getty.edu/page/tgn/1002715,1926?,Don't Leave Me Lawd [and] I Love Mary
192x-Wonder-UKY,"United States, Tennessee, Rutherford, Murfreesboro;United States, Tennessee, Marshall, Lewisburg",http://vocab.getty.edu/page/tgn/7014175;http://vocab.getty.edu/page/tgn/2100057,192x?,Wonderful Songs
1877-Choice-UKY,"United States, Indiana, Hendricks, Danville",http://vocab.getty.edu/page/tgn/2031562,1877,A Choice Selection of Hymns and Spiritual Songs
1878-Gabrie-UKY,"United States, Iowa, Muscatine, Wilton",http://vocab.getty.edu/page/tgn/2035920,1878,Gabriel's Sunday-School Songs No. 1
1881-Crowno-UKY,"United States, Virginia, Rockingham, Dayton;United States, Massachusetts, Essex, Rowley",http://vocab.getty.edu/page/tgn/2111441;http://vocab.getty.edu/page/tgn/2050508,1881,The Crown of Praise
1883-Christ-UKY,"United States, Missouri, independent city, Saint Louis;United States, Missouri, Audrain, Mexico;United States, Indiana, Monroe, Bloomington;United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/2059719;http://vocab.getty.edu/page/tgn/7013437;http://vocab.getty.edu/page/tgn/7013604,1884,The Christian Sunday School Hymnal
1892-Founta-UKY,"United States, Virginia, Rockingham, Dayton;United States, Virginia, independent city, Winchester;United States, Illinois, Hamilton, Dahlgren",http://vocab.getty.edu/page/tgn/2111441;http://vocab.getty.edu/page/tgn/7017708;http://vocab.getty.edu/page/tgn/2027380,1892,Fountain of Praise
1895-Christ-UKY,"United States, Ohio, Lucas, Toledo;United States, Massachusetts, Essex, Rowley;United States, Illinois, Cook, Chicago;United States, Ohio, Montgomery, Dayton",http://vocab.getty.edu/page/tgn/7014378;http://vocab.getty.edu/page/tgn/2050508;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7013511,1895,Christmas Crowns
1907-Fiftyt-UKY,"United States, Colorado, Denver, Denver",http://vocab.getty.edu/page/tgn/7013545,1907,Fifty-Two Memory Hymns
1908-Crowni-UKY,"United States, Virginia, Rockingham, Dayton",http://vocab.getty.edu/page/tgn/7013511,1908,Crowning Day 1?€?6 Combined
1911-Greate-UKY,"United States, Kentucky, Owen, Poplar Grove",ttp://vocab.getty.edu/page/tgn/2040869,1911?,Greatest Hymns
1916-Golden-UKY,"United States, Tennessee, Lawrence, Lawrenceburg;United States, Florida, Jefferson, Waukeenah;United States, North Carolina, Buncombe, Asheville;United States, Georgia, Gordon, Sugar Valley;United States, South Carolina, Greenville, Greenville;United States, Alabama, Chilton, Thorsby;United States, Virginia, independent city, Harrisonburg;United States, Alabama, Saint Clair, Pell City;United States, Alabama, Pickens, Gordo;United States, Texas, Comanche, Comanche;United States, Georgia, Coweta, Senoia;United States, Georgia, Polk, Rockmart;United States, Texas, Cass;United States, South Carolina, Pickens;United States, Georgia, Sumter",http://vocab.getty.edu/page/tgn/2100022;http://vocab.getty.edu/page/tgn/2021698;http://vocab.getty.edu/page/tgn/7013325;http://vocab.getty.edu/page/tgn/2024434;http://vocab.getty.edu/page/tgn/7014143;http://vocab.getty.edu/page/tgn/2005503;http://vocab.getty.edu/page/tgn/2112170;http://vocab.getty.edu/page/tgn/2004850;http://vocab.getty.edu/page/tgn/2003692;http://vocab.getty.edu/page/tgn/2103388;http://vocab.getty.edu/page/tgn/2024284;http://vocab.getty.edu/page/tgn/2024084;http://vocab.getty.edu/page/tgn/1002244;http://vocab.getty.edu/page/tgn/2001763;http://vocab.getty.edu/page/tgn/2000420,1916,Golden Gospel Bells
1916-Gospel-UKY,"United States, Delaware, New Castle, Wilmington",http://vocab.getty.edu/page/tgn/7014632,1916,The Gospel Echo
1922-Firstb-UKY,"United States, Massachusetts, Suffolk, Boston",http://vocab.getty.edu/page/tgn/7013445,1925,A First Book in Hymns and Worship
1873-Hermon-UKY,"United States, Tennessee, Davidson, Nashville;United States, Tennessee, Giles, Pulaski",http://vocab.getty.edu/page/tgn/7013959;http://vocab.getty.edu/page/tgn/2101146,1873,Hermon
1879-Joytow-UKY,"United States, Ohio, Delaware, Delaware;United States, Illinois, Cook, Chicago;United States, Pennsylvania, Delaware, Chester",http://vocab.getty.edu/page/tgn/7013543;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7015967,1879,Joy to the World
1881-Greatj-UKY,"United States, Illinois, Iroquois, Onarga;United States, Pennsylvania, Bradford, Towanda",http://vocab.getty.edu/page/tgn/2029488;http://vocab.getty.edu/page/tgn/2093761,1881,Great Joy!
1882-Hourso-UKY,"United States, Virginia, Rockingham, Dayton;United States, Virginia, Rockingham",http://vocab.getty.edu/page/tgn/2111441;http://vocab.getty.edu/page/tgn/2002187,1882,Hours of Singing
1884-Gospel-UKY,"United States, Maryland, independent city, Baltimore",http://vocab.getty.edu/page/tgn/7013352,1884,Gospel Light for the Sunday School
1887-Harves-UKY,"United States, Texas, Anderson, Palestine;United States, Texas, Dallas, Dallas",http://vocab.getty.edu/page/tgn/2106571;http://vocab.getty.edu/page/tgn/7013503,1887,Harvest Bells No. 3
1889-Neuekl-UKY,,,1889,Der Neue Kleine Psalter
1890-Evange-UKY,,,1890,Evangelisches Gesangbuch
1892-Garner-UKY,"United States, New York, Allegany, Alfred",http://vocab.getty.edu/page/tgn/2067764,1892,Garnered Gems Sunday-School Song
1894-Himnar-UKY,,,1894,El Himnario Evangelico
1901-Hymnso-UKY,"United States, Illinois, Cook, Chicago",http://vocab.getty.edu/page/tgn/7013596,1901,Hymns of Faith and Praise
1903-Joyful-UKY,"United States, Georgia, Douglas, Douglassville;United States, Tennessee, Jefferson, White Pine;United States, Georgia, Haralson, Tallapoosa",http://vocab.getty.edu/page/tgn/2022711;http://vocab.getty.edu/page/tgn/2102095;http://vocab.getty.edu/page/tgn/2024465,1903?,Joyful Lays
1910-Gospel-UKY,"United States, Georgia, Chattooga, Trion;United States, Tennessee, Jefferson, White Pine;United States, North Carolina, Caldwell, Gamewell;United States, Georgia, Fulton, Red Oak;United States, Georgia, Fulton, Atlanta;United States, Tennessee, Davidson, Nashville;United States, North Carolina, Lenoir;United States, Alabama, Lauderdale",http://vocab.getty.edu/page/tgn/2024543;http://vocab.getty.edu/page/tgn/2102095;http://vocab.getty.edu/page/tgn/2074745;http://vocab.getty.edu/page/tgn/2024026;http://vocab.getty.edu/page/tgn/7013331;http://vocab.getty.edu/page/tgn/7013959;http://vocab.getty.edu/page/tgn/2075439;http://vocab.getty.edu/page/tgn/2000038,1910,The Gospel Message in Song
