ssdl:pid,ssdl:placeOfContributorAffiliation,ssdl:placeOfContributorAffiliationUri,ssdl:dateOfPublication,ssdl:shortTitle
1878-Tiding-EMU,"United States, Tennessee, Maury",http://vocab.getty.edu/page/tgn/2001896,1878,Tidings of Joy
1879-Bapti2-EMU,"United States, Kentucky, Jefferson, Louisville",http://vocab.getty.edu/page/tgn/7013915,1879,Baptist Songs with Music
1879-Primit-EMU,"United States, Missouri, Randolph, Huntsville;United States, Illinois, Schuyler, Camden;United States, Missouri, independent city, Saint Louis",http://vocab.getty.edu/page/tgn/2059156;http://vocab.getty.edu/page/tgn/2026841;http://vocab.getty.edu/page/tgn/7014444,1879,The Primitive Baptist Hymnal
1879-Sacred-EMU,"United States, Tennessee, Hamilton, Chattanooga",http://vocab.getty.edu/page/tgn/7017496,1879,Sacred Melodies
1879-Songvi-EMU,"United States, Illinois, Hamilton, McLeansboro",http://vocab.getty.edu/page/tgn/2028913,1879,The Song Victor
1879-Wreath-EMU,"United States, Georgia, Fulton, Atlanta",http://vocab.getty.edu/page/tgn/7013331,1879,The Wreath of Gems
1880-Childr-EMU,"United States, Tennessee, Williamson;United States, Tennessee, Warren, McMinnville;United States, Tennessee, Lincoln, Fayetteville;United States, Illinois, Hamilton, McLeansboro;United States, Illinois, White, Norris City;United States, Missouri, Cole, Jefferson City;United States, Tennessee, Maury",http://vocab.getty.edu/page/tgn/2001930;http://vocab.getty.edu/page/tgn/2100213;http://vocab.getty.edu/page/tgn/2099101;http://vocab.getty.edu/page/tgn/2028913;http://vocab.getty.edu/page/tgn/2029325;http://vocab.getty.edu/page/tgn/7013811;http://vocab.getty.edu/page/tgn/2001896,1880,Children's Hosannas
1880-Hymnsx-EMU,"United States, Maryland, Howard, Ellicott City;United Kingdom, England, Greater London, London",http://vocab.getty.edu/page/tgn/2046992;http://vocab.getty.edu/page/tgn/7011798,1880,Hymns
1880-Joyand-EMU,"United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/7013604,1880,Joy and Gladness
1880-Newhy1-EMU,,,1880,The New Hymn and Tune Book
1880-Newhy2-EMU,,,1880,The New Hymn-Book.
1880-Songse-EMU,"United States, New York, New York",http://vocab.getty.edu/page/tgn/1002715,1880,Songs Sermons
1912-Tribut-EMU,"United States, Georgia, Fulton, Atlanta;United States, Alabama, Blount, Brooksville;United States, Alabama, Morgan, Brooksville;United States, Alabama, DeKalb, Crossville;United States, Alabama, Marshall, Boaz;United States, Georgia, Carroll, Carrollton;United States, Georgia, Fulton",http://vocab.getty.edu/page/tgn/7013331;http://vocab.getty.edu/page/tgn/2002898;http://vocab.getty.edu/page/tgn/2002899;http://vocab.getty.edu/page/tgn/2003230;http://vocab.getty.edu/page/tgn/2002835;http://vocab.getty.edu/page/tgn/2022353;http://vocab.getty.edu/page/tgn/2000351,1912?,Tribute of Praise
1881-Evange-EMU,,,1881,Evangelisches Gesangbuch
1881-Himnar-EMU,"United Kingdom, England, Greater London, Croydon;United States, Maryland, independent city, Baltimore;Mexico, Puebla, Puebla de Zaragoza;Mexico, Distrito Federal, Mexico City;Mexico, M??xico, San Mateo Tezoquipan;Mexico, Hidalgo, Pachuca de Soto",http://vocab.getty.edu/page/tgn/7455910;http://vocab.getty.edu/page/tgn/7013352;http://vocab.getty.edu/page/tgn/7007118;http://vocab.getty.edu/page/tgn/7007227;http://vocab.getty.edu/page/tgn/7423514;http://vocab.getty.edu/page/tgn/1017980,1881,Himnario de la Iglesia Metodista Episcopal
1881-Redeem-EMU,"United States, Ohio, Delaware, Delaware",http://vocab.getty.edu/page/tgn/7013543,1881,Redeemer's Praise
1881-Twilig-EMU,"United States, Ohio, Summit, Akron;United States, Florida, Hillsborough, Tampa",http://vocab.getty.edu/page/tgn/7013265;http://vocab.getty.edu/page/tgn/7013974,1881,Twilight Zephyrs
1882-Gracea-EMU,"United States, Tennessee, Maury, Columbia;United States, Tennessee, Davidson, Nashville",http://vocab.getty.edu/page/tgn/2098585;http://vocab.getty.edu/page/tgn/7013959,1882,Grace and Glory
1882-Juveni-EMU,"United States, New York, Chautauqua, Jamestown;United States, Pennsylvania, Crawford",http://vocab.getty.edu/page/tgn/2069910;http://vocab.getty.edu/page/tgn/1002308,1882,The Juvenile Class and Concert
1882-NewChr-EMU,"United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/7013604,1882,New Christian Hymn and Tune-Book.
1882-Psalms-EMU,"United States, New York, New York",http://vocab.getty.edu/page/tgn/1002715,1882,"Psalms and Hymns, and Spiritual Songs"
1882-Realmo-EMU,"United States, Illinois, Cook, Hyde Park",http://vocab.getty.edu/page/tgn/7022150,1882,The Realm of Song
1882-Singin-EMU,"United States, California, Los Angeles, Pasadena;United States, New York, Kings, Brooklyn",http://vocab.getty.edu/page/tgn/7014389;http://vocab.getty.edu/page/tgn/7015822,1882,Singing on the Way
1883-Better-EMU,,,1883?,Better than Gold
1883-Bookof-EMU,"United States, Virginia, independent city, Richmond",http://vocab.getty.edu/page/tgn/7013964,1883,A Book of Worship
1883-Duplex-EMU,"United States, Virginia, independent city, Richmond",http://vocab.getty.edu/page/tgn/7013964,1883,The Duplex Hymn and Tune Book
1883-Holyvo-EMU,"United States, Connecticut, New Haven, New Haven;Germany, Saxony, Leipzig;United States, Pennsylvania, Dauphin, Harrisburg",http://vocab.getty.edu/page/tgn/7014210;http://vocab.getty.edu/page/tgn/7012329;http://vocab.getty.edu/page/tgn/7013694,1883,Holy Voices
1883-Lovean-EMU,"United States, Georgia, Chatham, Savannah;United States, Georgia, Richmond, Augusta;United States, New York, Kings, Brooklyn",http://vocab.getty.edu/page/tgn/7014487;http://vocab.getty.edu/page/tgn/7017498;http://vocab.getty.edu/page/tgn/1002551,1883,Love and Praise
1883-Purede-EMU,"United States, Illinois, Cook, Hyde Park;United States, Ohio, Trumbull, Gustavus",http://vocab.getty.edu/page/tgn/7022150;http://vocab.getty.edu/page/tgn/2079845,1883,Pure Delight!
1883-Select-EMU,"United States, Virginia, independent city, Richmond",http://vocab.getty.edu/page/tgn/7013964,1883,Selections for Social and Public Praise
1883-Shaker-EMU,,,1883,Shaker Anthems and Hymns
1883-Songso-EMU,"United States, Ohio, Hamilton, Cincinnati;United States, Kentucky, Kenton, Covington",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7014762,1883,Songs of Free Grace
1883-Teache-EMU,"United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/7013604,1883,Teachers' Edition of the New Christian Hymn and Tune-book
1883-Triune-EMU,"United States, Virginia, Rockingham, Dayton;United States, Georgia, Hart, Eagle Grove;United States, Georgia, Franklin, Lavonia;United States, Georgia, Hart, Hartwell",http://vocab.getty.edu/page/tgn/2111441;http://vocab.getty.edu/page/tgn/2022751;http://vocab.getty.edu/page/tgn/2023373;http://vocab.getty.edu/page/tgn/2023122,1883,Triune Hymnal
1883-Voiceo-EMU,"United States, Colorado, Douglas",http://vocab.getty.edu/page/tgn/2000209,1883,The Voice of Joy
1884-Congre-EMU,"United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/7013604,1883,The Congregation
1884-Consol-EMU,"United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/7013604,1884,Consolation
1884-Everla-EMU,"United States, Texas",http://vocab.getty.edu/page/tgn/7007826,1884,The Everlasting Joy
1884-Gospel-EMU,"United States, Ohio, Hamilton, Cincinnati;United States, New Jersey, Union, Plainfield",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/2065909,1884,Gospel Music
1884-Gratef-EMU,"United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/7013604,1884,Grateful Praise
1884-Harves-EMU,"United States, Texas, Anderson, Palestine;United States, Texas, Lampasas, Lampasas",http://vocab.getty.edu/page/tgn/2106571;http://vocab.getty.edu/page/tgn/2105513,1884,Harvest Bells No. 2
1884-Hymnbo-EMU,"United States, Georgia, Chatham, Savannah;United States, Florida, Leon, Tallahassee",http://vocab.getty.edu/page/tgn/7014487;http://vocab.getty.edu/page/tgn/7013938,1884,The Hymn Book of the African Methodist Episcopal Church
1884-Jesus1-EMU,"United States, Ohio, Hamilton, Cincinnati;United States, Pennsylvania, Allegheny, Pittsburgh",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013927,1884,Jesus of Nazareth in Prophecy and Fulfillment
1884-Ourson-EMU,"United States, Illinois, Cook, Hyde Park;United States, Ohio, Trumbull, Gustavus",http://vocab.getty.edu/page/tgn/7022150;http://vocab.getty.edu/page/tgn/2079845,1884,Our Song World
1884-Praise-EMU,"United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/7013604,1884,Praise and Rejoicing
