PID,ssdl:notation,location,Date,Long,Lati
1901-Eureka-EMU,Round,"Dallas, TX; Kansas City, MO; Cincinnati, OH",1901,-96.8;-94.5667;-84.45,32.7833;39.0833;39.15
1901-Fillm1-EMU,Round,"Cincinnati, OH; New York, NY",1901,-84.45;-74,39.15;40.7
1901-Fillm2-EMU,Round,"Cincinnati, OH; New York, NY",1901,-84.45;-74,39.15;40.7
1901-Hackle-EMU,Round,"St. Louis, MO; Indianapolis, IN",1901,-90.1833;-86.15,38.6167;39.7667
1901-Kirche-EMU,,"St. Louis, MO",1901,-90.1833,38.6167
1901-Manlyp-EMU,Round,"New York, NY; Dayton, OH",1901,-74;-84.1833,40.7;39.75
1901-Newpsa-EMU,Nil,"Richmond, VA",1901,-77.45,37.55
1901-Youngp-EMU,Round,"Nashville, TN",1901,-86.761,36.154
1902-Crowno-EMU,Round;Seven-shape Aikin,"Cincinnati, OH",1902,-84.45,39.15
1902-Eleven-EMU,Round,"Atlanta, GA; Cincinnati, OH; Kansas City, MO",1902,-84.3833;-84.45;-94.5667,33.7333;39.15;39.0833
1902-Joyful-EMU,Round,"Cincinnati, OH;Chicago, IL;Kansas City, MO;San Francisco, CA;New York, NY;Boston, MA;Pittsburg, PA;Detroit, MI",1902,-84.45;-87.65;-94.5667;-122.4167;-74;-71.05;-79.9833;-83.0333,39.15;41.85;39.0833;37.7667;40.7;42.35;40.4333;42.3167
1902-Living-EMU,Round,"St. Louis, MO",1902,-90.1833,38.6167
1902-Onwing-EMU,Round,"Baltimore, MD",1902,-76.6,39.2833
1904-Gemsno-EMU,Round,"Louisville, KY",1904,-85.75,38.25
1904-Perfec-EMU,Round,"Lawrenceburg, TN",1904,-87.3333,35.2333
1904-Temper-EMU,Round,"Cincinnati, OH; New York, NY",1904,-84.45;-74,39.15;40.7
1905-Hymnso-EMU,Round,"Columbia, TN; Cincinnati, OH; New York, NY; Baltimore, MD; Louisville, KY; Blue Earth, MN",1905,-87.0333;-84.45;-74;-76.6;-85.75;-94.1,35.6;39.15;40.7;39.2833;38.25;43.6333
1905-Lobede-EMU,Round,"Cincinnati, OH; New York, NY",1905,-84.45;-74,39.15;40.7
1905-Reviva-EMU,Round,"Atlanta, GA; Cincinnati, OH; Kansas City, MO",19xx,-84.3833;-84.45;-94.5667,33.7333;39.15;39.0833
1905-Songsf-EMU,Round,"Nashville, TN",1905,-86.761,36.154
1905-Youngp-EMU,Round,"Nashville, TN; Dallas, TX",1905,-86.761;-96.8,36.154;32.7833
1906-Golden-EMU,Seven-shape Aikin,"Lawrenceburg, TN",1906,-87.3333,35.2333
1906-Gospel-EMU,Round,"Rogers, AR",1906,-94.1167,36.3167
1906-Hymna1-EMU,Nil,"St. Louis, MO",1906,-90.1833,38.6167
1906-Hymna2-EMU,Round,,1906,0,0
1906-Jesuss-EMU,Seven-shape Aikin,"Nashville, TN",1906,-86.761,36.154
1906-Lastin-EMU,Seven-shape Aikin,"Glencoe, KY",1906,-84.8167,38.7
1906-Sevent-EMU,Seven-shape Aikin,"Nashville, TN",1906,-86.761,36.154
